name,nomer,address,kota,keyword,is_wa,sudah,
Sate ayam jumbo dan sate kambing Cak Farhat,087712724247,"Jl. Candi Bima No.27, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",kota malang,warung kambing,ada,
Bang oya sop kaki kambing dan sapi,082140356103,"Jl. Letjen Sutoyo, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65141",kota malang,warung kambing,ada,
Warung Mundu (Tongseng Setan & Sate Gajah),081333050650,"Jl. Telomoyo No.3, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65116",kota malang,warung kambing,ada,
Warung sate cak roni gondrong,081945594562,"Jl. Loncat Indah No.20, Tasikmadu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65143",kota malang,warung kambing,ada,
Sate Ayam Dan Kambing Pak Saleh,081937751847,"Jl. D. Limboto Barat, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139",kota malang,warung kambing,ada,
Sate Ayam Dan Kambing Pak Imam Madura,081332497774,"Jalan Soekarno Hatta DR No 19 Mojolangu Lowokwaru, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65143",kota malang,warung kambing,tidak,
Sate Kambing & Ayam Pangkalan AT,082141566115,"2HRX+8MH, Jl. Himalaya VE 4-5, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65151",kota malang,warung kambing,ada,
Sate Kambing dan Gule Pak Sauri,082132589534,"Jl. Raya Langsep No.24, Bareng, Kec. Klojen, Kota Malang, Jawa Timur 65146",kota malang,warung kambing,ada,
Sate Ayam Kambing Madura,,"Jl. Ikan Kakap, Tunjungsekar, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",kota malang,warung kambing,,
Nasi kebuli palem kurma,,"Jl. Bandung No.18 A, RW.02, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65113",kota malang,nasi kebuli,,
Nasi kebuli,,"2JXF+V7Q, Jl. Dewandaru Dalam, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,nasi kebuli,,
Nasi Kebuli,,"2JRJ+RM8, Jl. Bungur, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",kota malang,nasi kebuli,,
Nasi Kebuli Sultan,,"2J68+HFP, Jl. Merpati Utara, Sukun, Kec. Sukun, Kota Malang, Jawa Timur 65147",kota malang,nasi kebuli,,
Kebuli ngebul Sawojajar,,"Jl. Danau Toba No.Raya, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur",kota malang,nasi kebuli,,
Nasi Kebuli Ummu Husain,,"3J7V+CVW, Jl. A. Yani, Blimbing, Kec. Blimbing, Kota Malang, Jawa Timur",kota malang,nasi kebuli,,
nasi kebuli rj,,"XJX7+6RC, Jl. Klayatan II, Bandungrejosari, Kec. Sukun, Kota Malang, Jawa Timur 65148",kota malang,nasi kebuli,,
